Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
Ozone	6-12km	day	1	_ims_metopc_tir_qnrt_	o08	_day	_global_g0.5_qc0	"IMS-Ozone (6-12km, 1day)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o08.png	empty	empty
Ozone	Total	night	1	_ims_metopc_tir_qnrt_	o04	_night	_global_g0.5_qc0	"IMS-Ozone (Total Col, 1night)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o04.png	empty	empty
Ozone	0-6km	night	1	_ims_metopc_tir_qnrt_	o02	_night	_global_g0.5_qc0	"IMS-Ozone (0-6km, 1night)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o02.png	empty	empty
Ozone	6-12km	night	1	_ims_metopc_tir_qnrt_	o08	_night	_global_g0.5_qc0	"IMS-Ozone (6-12km, 1night)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o08.png	empty	empty
SO2	Column_Average	day	1	_ims_metopc_tir_qnrt_	so2	_day	_global_g0.5_qc0	IMS-SO2 (1day)	SO2	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_so2.png	empty	empty
SO2	Column_Average	night	1	_ims_metopc_tir_qnrt_	so2	_night	_global_g0.5_qc0	IMS-SO2 (1night)	SO2	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_so2.png	empty	empty
Surface Emissivity	M-IR Emissivity	day	1	_ims_metopc_tir_qnrt_	emis	_day	_global_g0.5_qc0	IMS-IR-emis(1day)	EMIS	false colour	empty	empty	empty
Surface Emissivity	SW-IR Emissivity	day	1	_ims_metopc_tir_qnrt_	swem	_day	_global_g0.5_qc0	IMS-SWIR-emis(1day)	EMIS	false colour	empty	empty	empty
Surface Emissivity	Microwave Emissivity	day	1	_ims_metopc_tir_qnrt_	mwem	_day	_global_g0.5_qc0	IMS-MW-emis(1day)	EMIS	false colour	empty	empty	empty
Surface Emissivity	M-IR Emissivity	night	1	_ims_metopc_tir_qnrt_	emis	_night	_global_g0.5_qc0	IMS-IR-emis(1night)	EMIS	false colour	empty	empty	empty
Surface Emissivity	SW-IR Emissivity	night	1	_ims_metopc_tir_qnrt_	swem	_night	_global_g0.5_qc0	IMS-SWIR-emis(1night)	EMIS	false colour	empty	empty	empty
Surface Emissivity	Microwave Emissivity	night	1	_ims_metopc_tir_qnrt_	mwem	_night	_global_g0.5_qc0	IMS-MW-emis(1night)	EMIS	false colour	empty	empty	empty
Temperature	Surface	day	1	_ims_metopc_tir_qnrt_	tsk	_day	_global_g0.5_qc0	"IMS-T (Surface, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_tsk.png	empty	empty
Temperature	1km	day	1	_ims_metopc_tir_qnrt_	t01	_day	_global_g0.5_qc0	"IMS-T (1km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t01.png	empty	empty
Temperature	4km	day	1	_ims_metopc_tir_qnrt_	t04	_day	_global_g0.5_qc0	"IMS-T (4km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t04.png	empty	empty
Temperature	8km	day	1	_ims_metopc_tir_qnrt_	t08	_day	_global_g0.5_qc0	"IMS-T (8km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t08.png	empty	empty
Temperature	11km	day	1	_ims_metopc_tir_qnrt_	t11	_day	_global_g0.5_qc0	"IMS-T (11km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t11.png	empty	empty
Temperature	15km	day	1	_ims_metopc_tir_qnrt_	t15	_day	_global_g0.5_qc0	"IMS-T (15km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t15.png	empty	empty
Temperature	20km	day	1	_ims_metopc_tir_qnrt_	t20	_day	_global_g0.5_qc0	"IMS-T (20km, 1day)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t20.png	empty	empty
Temperature	Surface	night	1	_ims_metopc_tir_qnrt_	tsk	_night	_global_g0.5_qc0	"IMS-T (Surface, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_tsk.png	empty	empty
Temperature	1km	night	1	_ims_metopc_tir_qnrt_	t01	_night	_global_g0.5_qc0	"IMS-T (1km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t01.png	empty	empty
